sentence;food;service;price;place;other
tetapi untuk cream soupnya terlalu encer tetapi cukup oke sehingga terbayarkan ketika sudah mengantri lama .;negative;-;-;-;-
cream soupnya cukup oke sehingga terbayarkan ketika sudah mengantri lama .;positive;-;-;-;-
menu spesial disini adalah udang goreng mayonaise , sapi lada hitam .;positive;-;-;-;-
dim sum yang disajikan juga beraneka ragam .;positive;-;-;-;-
jangan lupa datang lebih awal karena weekend antrian cukup panjang .;-;negative;-;-;-
di eastern ini makanan chinese food , saya paling suka sama udang mayonaise , enak sekali .;positive;-;-;-;-
untuk porsi cukup besar , jadi bisa berbagi sama keluarga atau teman .;positive;-;-;-;-
harga standar makanan chinese sih;-;-;negative;-;-
disini juga ada makan sepuasnya dimsum , tetapi harga lumayan mahal , jadi kalau mau makan sepuasnya sebaiknya kalau lagi benar-benar lapar saja .;-;-;negative;-;-
kami suka tempat ini dan mengunjunginya sekali dalam beberapa bulan , terutama untuk makan siang .;-;-;-;positive;-
makanannya cocok dengan selera kami dan saya bisa mengajak teman karena dimsum - halal .;positive;-;-;-;-
rasa enak .;positive;-;-;-;-
rasa dingin .;negative;-;-;-;-
harga murah .;-;-;positive;-;-
tempat parkirnya sempit .;-;-;-;negative;-
tempat makannya juga tidak tidak terlalu besar , meja makan terutama , kurang nyaman untuk makan lebih dari orang .;-;-;-;negative;-
cocok untuk tempat hang out .;-;-;-;positive;-
menu makanan banyak dan bervariasi , makanan enak dan porsinya besar , harga sesuai dengan porsi dan rasa .;positive;-;positive;-;-
jempol sangat far walaupun masih ada kekurangan untuk menu makan , minum dan dessert semua yang saya coba enak .;positive;-;-;-;-
menu makanan cukup bervariasi ( khususnya breakfast ) dan presentasi makanan juga cukup menarik .;positive;-;-;-;-
untuk harga menunya terbilang sedikit mahal atau menurut pendapat saya pribadi untuk kelas harga menengah .;-;-;negative;-;-
luar cafe sangat biasa .;-;-;-;negative;-
cafe setelah masuk benar benar tidak ingin keluar .;-;-;-;positive;
ruangan dengan dekorasi menarik penuh kehidupan burung .;-;-;-;positive;-
mau smoking dan smoking dengan musik lembut dan kedua makan paginya enak .;positive;-;-;positive;-
teman pesan sandwich dan saya nasi . . lezat patut kesini kembali .;positive;-;-;-;-
tempatnya cukup unik dan nyaman buat hang out dengan tema kebun dan kitchen didalam ruangan , makanannya disajikan dengan unik .;positive;-;-;positive;-
cemilannya juga enak .;positive;-;-;-;-
saya kebetulan kesana untuk sekedar santai , disana tersedia kopi juga , shake , tea seperti biasanya .;-;-;-;-;-
pancake enak juga .;positive;-;-;-;-
makanannya memuaskan lidah , suasananya nyaman , layanannya juga oke .;positive;positive;-;positive;-
hummingbird eatery ini sangat nyaman untuk ngobrol lama bersama teman teman karena suasana yang dingin dan tenang bkin betah banget dan juga makanan dan minumannya recomended !;positive;-;-;positive;-
makanannya yang cukup menggugah selera di tunjang dengan minuman yang dibalut dengan gelas cantik .;positive;-;-;-;-
plating makanan dan minuman di tempat ini salah satu yang saya sukai , makan bukan hanya rasa bagi saya .;positive;-;-;-;-
minuman visual juga harus menunjang untuk mendapatkan kepuasa dalam menyantap .;-;-;-;-;-
pelayanan yang cukup bagus .;-;positive;-;-;-
pelayanan cukup susah untuk pelayan menghampiri dikarenakan kesibukan dan ngobrol untuk kita mengorder makanan .;-;negative;-;-;-
pelayan hal tersebut tidak mengurangi minat saya untuk terus kembali lagi ketempat ini .;-;negative;-;-;-
beberapa kali ke sini , tidak pernah kecewa dengan makanan dan minuman .;positive;-;-;-;-
dingin dan hambar .;-;-;-;-;-
lokasi agak sedikit jauh sih . .;-;-;-;negative;-
tetapi aku suka tempatnya karena sangat tenang seperti di pedesaan .;-;-;-;positive;-
harganya masih cukup terjangkau .;-;-;positive;-;-
namun perlu sedikit sabar menunggu pesanannya .;-;negative;-;-;-
namun perlu sedikit sabar menunggu pesanannya .;-;negative;-;-;
yang pasti tempatnya nyaman dan tenang .;-;-;-;positive;-
jika ingin mendapatkan suasana makan yang tenang , nyaman dan nikmat .;-;-;-;positive;-
tempat yang sangat unik .;-;-;-;positive;-
tidak disarankan untuk manula karena jalan menuju tempat duduk cenderung berbatu dan agak gelap di malam hari .;-;-;-;negative;-
disini lebih baik datangnya malam saja , karena suasananya dingin dan tempatnya bagus sih menurut saya .;-;-;-;positive;-
Cuma untuk makanannya biasa saja .;negative;-;-;-;-
tidak ada spesial juga . .;-;-;-;-;-
hanya tempatnya bagus untuk di kunjungin .;-;-;-;positive;-
sesuai dengan namanya , suasana di kampung daun sangat asri dengan konsep pedesaan yang hening , sejuk dan indah .;-;-;-;positive;-
suasananya sangat romantis dan menenangkan apalagi jika datang dimalam hari selain suasananya , makanan disajikan enak dan variatif .;positive;-;-;positive;-
kalau malam hari suasana kampung daun lebih oke .;-;-;-;positive;-
suasana terkadang lebih ramai .;-;-;-;negative;-
saya lebih suka meja yang diatas , agak capek sih .;-;-;-;negative;-
meja yang diatas lebih private .;-;-;-;positive;-
jujur makanannya biasa saja , tidak ada yang istimewa .;negative;-;-;-;-
tetapi tempatnya oke banget .;-;-;-;positive;-
suasana kampung daun pada malam hari keren banget ! !;-;-;-;positive;-
kerja bagus !;-;-;-;-;-
x untuk makanan , maaf iya , standar saja . .;negative;-;-;-;-
tempatnya sejuk dan asri;-;-;-;positive;-
makanannya lumayan dan harga sedikit mahal .;positive;-;negative;-;-
tetapi kalau buat bersantai bersama keluarga direkomendasikan banget .;-;-;-;-;-
rasanya enak .;positive;-;-;-;-
harganya standar .;-;-;negative;-;-
makan disini termasuk hemat untuk ukuran jajan steak dengan rasa yang nagih .;positive;-;-;-;-
tempatnya nyaman banget dan makannya terjangkau serta enak apalagi steak dengan saus arabiatanya cocok banget .;positive;-;-;positive;-
komentar saya keseluruhan worth , untuk harga lumayan tinggi .;-;-;negative;-;-
harga sebanding dengan porsinya , kebetulan waktu itu untuk minumannya juga ada yang share menu , pelayanan cepat , pengantar makanan hanya 15 menit ( sepertinya lebih cepat bahkan ) .;positive;positive;positive;-;-
cocok buat penggemar daging , .;-;-;-;-;-
tempat strategis .;-;-;-;positive;-
porsinya banyak dan enak .;positive;-;-;-;-
memang ramai .;-;-;-;-;-
mungkin pelayan sedang pusing dengan banyak pengunjung .;-;negative;-;-;-
tempat hang out yang cukup baik dan penyajian makanan ada yang unik .;-;-;-;positive;-
sayang antrean selalu panjang .;-;negative;-;-;-
porsi cukup besar buat saya , rasa oke lah dan harga masih cukup diterima dompet , asal tidak setiap hari saja .;positive;-;negative;-;-
kami makan siang di karnivor setelah malam sebelumnya datang tetapi antri panjang sekali sehingga harus kembali esok harinya .;-;negative;-;-;-
steak dengan cita rasa tinggi dan harganya cukup murah .;positive;-;positive;-;-
harganya juga terjangkau banget .;-;-;positive;-;-
tempat ini cocok banget untuk kumpul-kumpul bersama teman ataupun keluarga .;-;-;-;positive;-
makanannya enak , pilihannya banyak , harganya oke .;positive;-;positive;-;-
saya suka dengan tempat ini , sangat homey dan modern .;-;-;-;positive;-
makanannya juga enak , saya pernah coba pizza primaveranya , cocok untuk yang vegetarian .;positive;-;-;-;-
lokasi yang strategis membuat mudah untuk menemukannya , harga juga standar tidak terlalu mahal , minum khas kesukaan saya adalah mojito yang segar .;positive;-;negative;positive;-
konsepnya lumayan unik .;-;-;-;positive;-
waktu itu makan steak rasanya biasa saja .;negative;-;-;-;-
pilihan menunya cukup banyak , dari menu asia sampai menu eropa .;positive;-;-;-;-
harga lumayan mahal .;-;-;negative;-;-
makannya enak dan pelayanan yang ramah .;positive;positive;-;-;-
harga tidak mahal .;-;-;positive;-;-
pemandangan bagus dan alami .;-;-;-;positive;-
cuaca dingin jadi jangan lupa pakai baju tebal .;-;-;-;negative;-
tempatnya sangat nyaman .;-;-;-;positive;-
makanan lumayan enak .;positive;-;-;-;-
pemandangannya sangat bagus , kita bisa naik lift ke rooftopnya .;-;-;-;positive;-
makanannya lebih banyak western , rasanya juga enak .;positive;-;-;-;-
tempatnya enak .;-;-;-;positive;-
rasanya enak .;positive;-;-;-;-
harganya pas .;-;-;positive;-;-
suasana yang berbeda begitu memasuki restoran ini sejuk dan nyaman .;-;-;-;positive;-
lokasinya strategis , tenang suasananya , dan hawanya sejuk .;-;-;-;positive;-
meskipun harus masuk daftar tunggu yang lumayan panjang ( karena datang pas makan siang ) .;-;negative;-;-;
daftar tunggu menjadi tidak membosankan untuk anak-anak karena ada halaman yang bisa buat bermain .;-;positive;-;-;
secara keseluruhan . semua makanan dan minuman yang kami pesan sangat puas dan ternyata porsinya besar dan sangat mengenyangkan .;positive;-;-;-;-
selain glass house yang langsung membuat restoran ini menarik , desain anggun didalamnya juga membuat betah .;-;-;-;positive;-
walaupun glass house namun didalam tetap ruangan ber ac sehingga nyaman .;-;-;-;positive;-
lokasinya memang agak didalam perumahan .;-;-;-;negative;-
namun ada taman yang ada kandang kelinci juga , cocok untu yang memiliki anak .;-;-;-;-;-
anak-anak suka disini karena ada playground kecil dan taman kelinci .;-;-;-;-;-
untuk makanan rasanya cukup enak .;positive;-;-;-;-
waktu itu kami memesan pizza untuk berempat untuk penampilan pizza kurang begitu menarik .;negative;-;-;negative;-
tetapi rasanya enak banget .;positive;-;-;-;-
untuk minumannya yang greentea segar banget .;positive;-;-;-;-
pelayanannya lumayan oke .;-;positive;-;-;-
pemandangan untuk foto-foto juga lumayan oke .;-;-;-;positive;-
enak dan cukup besar porsinya untuk sarapan .;positive;-;-;-;-
tempat ini sangat ramai pengunjung sehingga kami harus mengantri walalupun di luar jam makan .;-;-;-;negative;-
kualitas makanan dan minuman baik dan harganya sedang .;positive;-;positive;-;-
makanannya yang memiliki porsi besar , cocok untuk anda yang makanya banyak .;positive;-;-;-;-
rasa yang ditawarkan cukup enak .;positive;-;-;-;-
restoran cukup luas dan terdapat taman-taman dan kolam sebagai pelengkap santap siang .;-;-;-;positive;-
begitu pula dibagian lain interior-interior dihiasi dengan pajangan-pajangan yang cukup unik .;-;-;-;positive;-
restoran ini bangunannya cukup cantik .;-;-;-;positive;-
di dalamnya terdapat koleksi benda benda yang unik dan antik .;-;-;-;positive;-
citarasanya cukup enak .;positive;-;-;-;-
citarasanya cenderung manis .;negative;-;-;-;-
harganya premium sesuai kelas restoran .;-;-;negative;-;-
harga tergolong lebih tinggi daripada di raja sunda , dan tidak disediakan lalapan gratis maupun kerupuk aci gratis .;-;-;negative;-;-
yang disediakan gratis hanya kerupuk gendar dan sambal .;-;-;-;-;-
karedoknya enak .;positive;-;-;-;-
genjer teri : sangat berminyak dan terinya sangat sangat asin .;negative;-;-;-;-
rasanya sih lumayan , harganya masih affordable .;positive;-;positive;-;-
tempatnya juga bagus , ada kolam yang berisikan ikan-ikan .;-;-;-;positive;-
tempatnya tidak terlalu luas .;-;-;-;negative;-
tempatnya di dalamnya ada beberapa pilihan .;-;-;-;positive;-
untuk makanan yang patut dicoba adalah gurame goreng fillet , ayam goreng , ayam bakar dan tahu krispi . .;positive;-;-;-;-
minusnya paling hanya lokasi yang agak tersembunyi ( dalam artian bukan di jalan besar ) .;-;-;-;negative;-
lokasi tidak terlalu sulit untuk mencapainya karena tidak jauh dari pintu tol pasteur dan di dekat sentrasari mall .;-;-;-;positive;
restorannya bagus , tempatnya nyaman dan makanannya juga enak-enak .;positive;-;-;positive;-
pemandangannya bagus , ada kolam ikan yang ikannya gede-gede .;-;-;-;positive;-
lokasinya lumayan strategis , dekat dari pintu tol pasteur .;-;-;-;positive;-
cocok untuk tempat makan bareng keluarga .;-;-;-;positive;-
makanan biasa saja .;negative;-;-;-;-
tidak mahal juga tidak murah .;-;-;-;-;-
kurang sreg bumbunya .;negative;-;-;-;-
minumnya juga biasa saja .;negative;-;-;-;-
tidak ada yang istimewa .;-;-;-;-;-
penyajiannya juga very artfull , harganya memang mahal .;positive;-;negative;-;-
harganya sepadan dengan kualitasnya .;-;-;positive;-;-
lucu juga dapat suasana berbeda .;-;-;-;positive;-
walaupun jadi susah manggil pelayan .;-;negative;-;-;-
saya suka salmon rollsnya .;positive;-;-;-;-
tempatnya nyaman dan staffnya juga ramah-ramah .;-;positive;-;positive;-
pernah kesini sekitar tahun 2007 , dan saya sangat terkesan .;-;-;-;-;-
kami menikmati dessertnya dan harga yang terjangkau menurut kami .;positive;-;positive;-;-
sementara pelayanan shuttle dirasa masih kurang .;-;negative;-;-;-
selain tampilannya menggugah selera , rasa enak .;positive;-;-;-;-
entah mengapa rasa kurang memuaskan .;negative;-;-;-;-
menu menu grill ( daging bakar ) disini selalu menggugah selera .;positive;-;-;-;-
servicenya oke , dan harganya juga terjangkau .;-;positive;positive;-;-
dan kalau dibandingkan harga di sini jatuhnya lebih murah .;-;-;positive;-;-
menu favorit saya adalah salmon sashimi , kacang edamamenya enak , juga menu roll sushinya yang juga enak ditambah free ocha yang bisa di refill sama sperti di restoran sushi tei dimanapun yang pernah saya kunjungi .;positive;-;-;-;-
tetapi , pertama coba ternyata enak banget .;-;-;-;-;-
dan , memang enak .;-;-;-;-;-
tempat nyaman .;-;-;-;positive;-
hanya kadang kalau terlalu penuh pelayanan menjadi kurang baik .;-;negative;-;-;-
paling top sushinya .;positive;-;-;-;-
pelayanannya cepat .;-;positive;-;-;-
disini aneka roll enak .;positive;-;-;-;-
nebayaki udon dan salad juga bikin nagih .;positive;-;-;-;-
menu favoritnya fuji roll .;positive;-;-;-;-
makanannya sendiri saya rasakan segar dan enak  . ;positive;-;-;-;-
suasana di restoran ini sangat romantis , waktu yang cocok adalah malam hari .;-;-;-;positive;-
makanannya biasa saja .;negative;-;-;-;-
tetapi tempatnya luar biasa .;-;-;-;positive;
pemandangannya bagus .;-;-;-;positive;-
udaranya segar .;-;-;-;positive;-
makanannya enak .;positive;-;-;-;-
steaknya semua enak .;positive;-;-;-;-
tom yam juga enak .;positive;-;-;-;-
disini berlama lama sambil ngobrol dengan teman atau keluarga sangat nyaman .;-;-;-;-;-
tempat yang romantis dan dengan pemandangan yang luar biasa .;-;-;-;positive;-
restoran mewah dengan nuansa elegant , pemandangan juga sangatlah indah dan keren , memang rate harga cukup mahal .;-;-;negative;positive;-
tetapi terbayarkan karena makanannya enak dan pelayanan yang diberikan juga baik , lokasi terletak paling atas .;positive;positive;-;-;
bagus pemandangan , dan enak makanannya , pelayanannya luar biasa ramah .;positive;positive;-;positive;-
hanya sayang mushala kecil sekali , kebetulan kami datang pas magrib , mungkin pihak management the peak bisa dipertimbangkan untuk perbaikan mushala .;-;-;-;negative;-
sewaktu kita pergi restorannya cukup sepi , mungkin dikarenakan setelah liburan tahun baru .;-;-;-;positive;-
chicken cordon blue enak .;positive;-;-;-;-
servisnya bagus , makanannya enak , pemandangannya luar biasa .;positive;positive;-;positive;-
walaupun sedikit mahal harganya .;-;-;negative;-;-
the peak sangat cocok untuk merayakan saat-saat istimewa karena tempatnya yang spesial .;-;-;-;positive;-
harga restoran ini relatif mahal , sebanding dengan pelayanan dan makanannya yang berkualitas baik .;positive;positive;negative;-;-
makanannya tidak terlalu enak menurut saya , selling pointnya adalah tempatnya .;negative;-;-;positive;-
lokasi restoran ini mungkin tidak di pusat keramaian bandung .;-;-;-;negative;-
tetapi menawarkan tempat yang nyaman .;-;-;-;positive;-
pilihan makanan sangat beragam , mulai dari makanan tradisional , makanan asia sehingga makanan barat , dengan rasa yang nikmat .;positive;-;-;-;-
untuk makanannya lumayan enak .;positive;-;-;-;-
tetapi harganya juga lumayan mahal .;-;-;negative;-;-
pemandangan dari the stone cafe adalah pemandangan kota cocok untuk suasana romantis .;-;-;-;positive;-
saya kesana membwa group , tempatnya nyaman , makanannya cukup baik dari segi penampilan atau rasa .;positive;-;-;positive;-
sayangnya untuk hiburannya agak jauh , cafe ini menyediakan life band yang letaknya menurut saya agak jauh ( jadi tidak terlalu kedengeran ) , untuk dekorasi sudah oke .;-;-;-;negative;
diawali dengan susah parkir karena penuh pengunjung .;-;-;-;negative;-
tetapi begitu duduk pemandangan bandung citylight keren .;-;-;-;positive;-
pelayanan juga cepat .;-;positive;-;-;-
harga menengah keatas .;-;-;negative;-;-
saya dua kali ke the stone cafe karena suka pemandangan bandung dari sini keren .;-;-;-;-;-
makananya juga enak .;positive;-;-;-;-
makanannya iya di atas rata-rata .;negative;-;-;-;-
pelayannya ramah .;-;positive;-;-;-
disarankan kalau datang memang malam hari dapat atmosfer kerennya .;-;-;-;positive;-
menu favorit sop buntut sama caffe latte .;positive;-;-;-;-
toiletnya jorok , lantainya berdebu , bantalnya juga berdebu .;-;-;-;negative;-
makanan dan minumannya juga tidak ada 1 yang enak .;negative;-;-;-;-
siapa sih yang tidak kenal dago, makanannya enak , pertama kesini nyasar , gara2 belum tahu jalannya , designnya unik , tempat bagus   , nyaman , nyaman , adem karena di daerah pegunungan .;positive;-;-;positive;-
makanannya enak apalagi sop buntutnya .;positive;-;-;-;-
makanan enak , suasana yang dingin romantis pas banget kalau jalan sama pasangan , pemandangan restoran keren lebih pas kalau datang untuk makan malam .;positive;-;-;positive;-
the valley merupakan restoran yang mengedepankan cita rasa tinggi   , sehingga rasa makanan , tampilan makanan , lokasi dan pelayanan benar-benar prima .;positive;positive;-;positive;-
yang paling utama ialah pilihan makanan demikian bervariasi dan suasana malam yang menyenangkan dengan cuaca relatif dingin dengan pemandangan kota bandung .;positive;-;-;positive;-
makanan yang relatif enak dengan porsi cukup besar , jika untuk anak anak rasanya perlu berbagi porsi .;positive;-;-;-;-
makanan dan cafenya oke banget .;positive;-;-;positive;-
suasana yang dingin . ;-;-;-;positive;-
restoran yang memiliki pemandangan yang bagus .;-;-;-;positive;-
makanan yang kami pesan adalah zupa soup dan hot chocolate sangatlah enak dan lezat pas dengan cuacanya yang dingin .;positive;-;-;positive;-
jika ingin cari tempat romantis buat tempat candle lampu dinner , disini tempatnya .;-;-;-;positive;-
pemandangan yang indah , dengan lampu temaram menambah asyik suasana .;-;-;-;positive;-
untuk harga , bisa dibilang cukup mahal .;-;-;negative;-;-
pemandangan dsini sangat bagus kalau malam kita bisa lihat kota bandung .;-;-;-;positive;-
makanannya enak .;positive;-;-;-;-
udara dingin .;-;-;-;positive;-
untuk makan tergolong mahal .;negative;-;-;-;-
tetapi pemandangannya benar-benar dapat .;-;-;-;positive;-
pemandangannya bagus sih .;-;-;-;positive;-
tetapi makanannya biasa aja terus kita harus deposit dulu sebelum masuk , pelayanannya kurang profesional mungkin karena mengambil dari warga sekitar maklum lokasinya lumayan jauh kalau harus ke pusat bandung .;negative;negative;-;negative;
pilihan khusus kopi luar biasa , cocok dengan preferensi saya  . ;positive;-;-;-;-
tempatnya juga lumayan luas jadi tidak perlu rebutan meja .;-;-;-;positive;-
pelayanan efisien .;-;positive;-;-;-
tempatnya sangat nyaman buat ngopi dan menenangkan diri .;-;-;-;positive;-
makanannya enak-enak , affogatonya disarankan .;positive;-;-;-;-
kopinya standar .;negative;-;-;-;-
tetapi tempatnya enak untuk kumpul-kumpul .;-;-;-;positive;
makanannya enak .;positive;-;-;-;-
makanannya di sini mengandung babi .;negative;-;-;-;-
enak banget makanan sarapannya menurut saya .;positive;-;-;-;-
kami masuk ke tempat ini di mana tempatnya cukup bagus interiornya dan ada dua bagian area merokok dan tidak merokok .;-;-;-;positive;-
untuk lattenya cukup bagus dari sisi penyajiannya .;positive;-;-;positive;-
akan tetapi untuk rasanya agak terlalu banyak susunya .;negative;-;-;-;-
kemudian untuk menu brunch kami , big breezky menarik dari sisi penyajiannya .;positive;-;-;-;-
untuk rasa roti , jamur , bacon dan sosisnya cukup enak .;positive;-;-;-;-
sedangkan untuk rasa telurnya saat ini kami pilih untuk di poaced agak terlalu matang .;negative;-;-;-;-
secara keseluruhan untuk cafe ini cukup menarik dan boleh di kunjungi saat anda di bandung .;-;-;-;-;-
selalu menjadi tempat ngopi favorit saya di bandung .;-;-;-;positive;-
tempatnya sangat nyaman dengan barista yang ramah juga informatif dengan kopi .;-;positive;-;positive;-
yang saya suka di sini adalah pemilihan kopi mereka selalu terbaik .;positive;-;-;-;-
selain tempat yang nyaman .;-;-;-;positive;-
omega lovers jadi favorit saya dan varian kopi ethiopia adalah yang terbaik .;positive;-;-;-;-
bratwurst dan bacon enak .;positive;-;-;-;-
cara penyajian bagus .;positive;-;-;-;-
menarik dan unik . ;-;-;-;-;-
menu tidak terlalu banyak .;negative;-;-;-;-
nyaman buat makan siang  . ;positive;-;-;-;-
dan sepertinya berasa romantis untuk makan malam  . ;positive;-;-;-;-
harga tergolong mahal . ;-;-;negative;-;-
tetapi porsinya besar untuk makanan yang saya pesan   , yaitu bebek betutu dan bebek bukit tinggi .;positive;-;-;-;-
kaya bumbu dan rasa  . ;positive;-;-;-;-
sambal juga mantap  . ;positive;-;-;-;-
jadi meski mahal   , saya tidak kecewa  . ;-;-;-;-;-
makanan cukup beragam dari chinese makanan   , eropean dan indonesian makanan  . ;positive;-;-;-;-
duduk di saung-saung melihat kolam ikan diiringi live music memberikan suasana yang relaks  . ;-;-;-;positive;-
restoran ini cukup besar;-;-;-;positive;-
jika malam hari   , lilin dan lampu kecil dipasang yang membuat suasana romantis  . ;-;-;-;positive;-
cocok datang bersama pasangan  . ;-;-;-;-;-
makananya enak dan harganya setimpal  . ;positive;-;positive;-;-
