title;text
Restoran mewah yang romantis;Restoran ini cukup besar dan kita dapat memilih tempat di bagian paling bawah dekat panggung sering ada pertujukan musik di malam hari, jika naik keatas roof dapat menikmati pemandangan dan dibawah terdapat semacam pendopo yang sisinya terdapat kolam-kolam. Jika malam hari, lilin dan lampu kecil dipasang yang membuat suasana romantis. Cocok datang bersama pasangan. Makananya pun enak dan harganya worth it.
Cozy;atmosphere merupakan tempat yang tepat jika anda ingin makan malam baik bersama teman maupun kelurga, bahkan cocok untuk keluarga besar. Pilihan makanan nya lebih ke western dengan suasana yang sangat nyaman dan menyenangkan, jika ingin kesana saat weekend anda sepertinya perlu melakukan reservasi untuk memastikan kebagian tempat, seringkali ada live music juga
Cafe yang sangat bagus di tengah kota dan suasana nya sangat nyaman untuk nongkrong lebih lama.;Cafe ini cukup unik.. Dari pintu masuk terlihat seperti cafe biasa saja. Akan tetapi setelah masuk ke dalam suasananya berbeda sekali. Tersedia gazebo dalam ukuran besar sehingga utk hang out rame-rame juga muat. Trus ada juga meja kursi disamping kolam buatan yg dikelilingi tanaman hijau. Saya suka berada disini.. Hanya saja makanan nya kurang menurutku.. Menu makanan sangat banyak tetapi rasa dari tiap makanan rada kurang. Sayang sekali...
Nice soup;Saya sangat suka dengan soup yang mereka sediakan, enak dan gurih. Harga makanan rata-rata berkisar IDR 90k perpax untuk makan dan minuman.
Tempat romantis di tengah kota;"Cahaya lilin, saung"" yg berjauhan, dan kolam ikan di tengah memberikan suasana romantis bagi pasangan. Untuk makanan dan minuman sendiri, rasanya lumayan di lidah."
Romantic Dine;Cafe sekaligus restaurant ini viewnya sangat bagus. Cocok utk para pasangan yg mau candle light dinner. Tp utk makana malam sama kluarga jg sangat direkomendasikan. Bandung memang banyak punya tempat yg bagus dan good view. Secara harga juga sesuai dgn view yg didapat
Resort Cafe di Tengah Kota;Cafe yang berada di tengah kota. Dahulu pernah menjadi tempat favorit nongkrong anak muda dan keluarga. Baik secara rasa dan tempat yang cozy untuk bersantai.
Sudah banyak berubah;Kami datang merayakan hari jadi kami ke Atmosphere cafe dengan harapan yang cukup tinggi. Ternyata sudah banyak yang berubah, dimulai dari keramahan penyambutan yang menurun dan tempat yang saya peroleh tidak sesuai yang saya harapkan. Kebetulan waitress yang melayani pemesanan kami cukup ramah, selebihnya jarang terlihat. Menu dan kualitas makanan tidak seistimewa yang kami bayangkan dari pengalaman kami dulu. Hanya satu yang tidak berubah, yaitu harga makanan masih tetap tinggi.
Cozy & Relaxing;Berlokasi di dekat pergunungan sejuk, restaurant ini menyediakan bale2 outdoor juga indoor. Bertemakan seperti di Bali, restaurant ini sangat nyaman dilengkapi dgn live band dan service yg baik dr staff. Makanan pun disajikan sgt cepat, rasa makanan jg enak juga dessertnya enak2. Saya mencoba lasagna dan cheese cake strawberry dan benar2 puas. Harganya pun tidak terlalu mahal sangat reasonable.
Makanan Biasa Saja;Datang diwaktu malam, ramai sekali. Ada live music, tetapi tidak terlalu saya perhatikan. Suasana restoran sangat baik, terutama interior dalam bangunan utama. Suasana luar tidak terlalu terlihat, karena remang-remang, tetapi sepertinya cukup romantis.Makanan yang ditawarkan banyak ala barat dengan pelayanan yang cepat dan waitress cukup tangkas menjelaskan menu-menunya. Rasa masakan biasa saja.
Masih merupakan cafe suasana terbaik di pusat kota bandung;Tetap cafe dengan suasana terbaik di pusat kota bandung. Makanannya biasa saja begitu juga dengan servicenya.Minumannya enak.Tempat ternyaman di gazebo belakang.Untuk di lantai 2 sebaiknya sarung busa lesehannya sering dicuci karena terakhir bersama tamu ke sana para tamu merasakan kurang nyaman karena gatal2.
Alternatif Tempat Makan;Pertama kali mencoba datang ke atmosphere untuk makan malam. Karena bukan weekend maka suasana cukup sepi dan kami bisa duduk di teras belakang.Seperti bisa diduga pasti makanannya cukup mahal. Saya memilih bebek sambal hijau ala padang. Rasa makanan so so. Enaknya di sini bonus air putih dan bisa refill.Saat kami datang ada live music dan play listnya cukup ok. Hanya saja suara live music yang terlalu keras agak mengganggu jika ingin mengobrol
asri dan enak;resto ini salah satu yg saya suka dari dulu....tempatnya nyaman,asri....makanan jg enak.enak buat santai sama teman teman,keluarga atau dengan yang terkasih....klu malam suasananya jadi romantis
tempat yg asri;tempatnya enak buat bersantai dgn suasana yg asri, parkiran penuh tapi ada fasilitas valetnya.yg kurang live musicnya lagu lama semua....
Santap dengan Suasana Alam Segar Nan Romantis;Pertama kalinya ke atmosphere, karena diajak bos, dan pergi bersama rekan kerja sebanyak 20 orang. Waw, pas disuguhin menu, cukup mahal. Ya, saya hanya pesen nasi goreng lengkong dan milkshake cokelat. Saat itu jam makan siang, tempat relatif sepi, kayaknya ramenya pas malam atau pas malam minggu. Pelayanan cukup memuaskan meski menunggu cukup lama, suasana berbau alam, segar, sejuk dan romantis jika pergi berdua saja dan menghabiskan malam disini. Tempat parkir ok. Ya, overall 4 bintang dech
Live music yg mengganggu;Tempat ini sebenarnya cukup baik.Makanan enak namun dengan harga yg relative lebih mahal.Cari parkir susah.Saat weekend ada live music yg menurut saya justru mengganggu kenyamanan kita, karena suaranya yg terlalu kencang sehingga kita tidak bisa mengobrol dan menikmati makanan dengan tenang.
pemandangan mantap;view mantap,,lesehan nyaman..makanan luar biasa :)pelayanan bagus,,kebersihannya juga baik..suasana alam segar banget...
suasananya bagus didalam;Positif : tempatnya bagus dan cozy, makanan-nya enak, complimentary air putih, ada live musicNegatif : tamu bisa jadi penyanyi saat live music bila lebih dari 1 lagu, jadinya tidak menghibur
Hidden Gems;Tempatnya nyaman, padahal lokasinya ditengah kota di area yang biasanya cukup padat tapi anda dapat menemukan tempat yang desainnya serasa kembali ke alam. Makanan tidak ada yang terlalu istimewa dari segi rasa, tapi masih bisa diterima?
