Menakjubkan;Tidak ada kata lain selain memuaskan setiap kali berkunjung ke karnivor. Makanan yg variatif menjauhkan dari kata bosan apabila akan berkunjung ke karnivor. Karnivor menyediakan makanan utk personal maupun utk bersama dgn porsi "monster". Steak dan sosisnya enak sekali. Pizzanya pun ga bikin eneg. Kalo mau datang disarankan sblm jam makan siang atau anda akan menunggu. Tempatnya pun sangat nyaman sehingga tak heran pengunjung betah berlama2 di karnivor :)
Steak Enak!! Cocok Buat Nongkrong!!;Karnivor steak ini berlokasi di jalan riau/martadinata bandung. Steak nya enak sekali! terutama menu Tenderloin steak with mash potato dengan kuah barbeque! U must come to karnivor if u ever drop in bandung
Buka Puasa;Dateng kesini buat buka puasa, rameeeee banget. Nunggu sejam lebih, tapi maklum soalnya jam buka puasa dan banyakan ^^ Steaknya renak dan ga terlalu mahal, makanan selain steak dan minumannya juga beragam. Recommended
Steak dengan porsi besar;Jika datang ke tempat ini disarankan jangan weekend, menghindari antrian panjang. Saya dan suami datang kesini saat malam minggu, kami menunggu hampir 30 menit baru dapat tempat duduk. Harganya terjangkau. Porsinya besar dan rasanya enak. Letaknya di jalan RE martadinata.
Puas dan kenyang;Cari steik yang ukuran normal... ya Karnivor! Biasa dan sudah jarang tempat jualan steik di Bandung yang dihidangkan dengan berat 200gram di Karnivor tetap dan jangan pernah di rubah...
Dinner anniversary;Saya dan pasangan sedang mencari-cari teman untuk merayakan anniversary kami. Kami sempat bingung untuk mencari tempat. Setelah menjelajah, kami memutuskan untuk makan di tempat ini. Tempatnya unik karena nuasana ethnic yang kental. Soal harga terjangkau karena porsi yang ditawarkan besar. Menu yang terkenal di sini adalah monster steak, monster sosis dan minumannya adalah gorilla punch. Semua bisa disantap bersama-sama dengan keluarga. Steaknya juga enak dan lembut. Silahkan mampir saja letaknya di jalan riau
Murah dan Enak;Saya dan pasangan setiap pergi ke Bandung pasti dan harus makan disini. Dengan harga yang reasonable tapi kita bisa menikmati Steak yang enak dengan pilihan yang oke.Saya biasanya pesan T-Rex Bone dan Coffee Rubbed Steak + Gorilla Punch, pasangan saya selalu Tenderloin + Ice Tea. Besok2 saya mau coba menu yang raksasa hahaha...Oiya resto ini terkenal dengan menu raksasanya alias menu kelaperan, ada 1kg steak, beef tower dll..Mantablah...
kenyang!;porsi makanan disini super sekali, banyak dan enak. untuk porsi sebanyak itu, harga cukup terjangkau. makanannya banyak daging, wajib coba steaknya :)
For the carnivor person;Karnivor ada di Jalan Riau, Kalo dari FO, terus aja deh jangan sungkan-sungkan. Sebelahan sama nanny's pavilion. Pertama dateng, waiting list, n aga ribet sistemnya, n pelayannya aga judes, mungkin krn rame bgt. Tempatnya sumpek bgt, sbnrnya interiornya menarik tp krn mrk mgkin mau muat banyak, jd sumpek kaya warteg. Tp ane udh ultimatum mas nya, gamau di tempat yg sumpek gt, ane milih tempat. Jd dpt tempat yg mendingan deh. Mood agak bete di awal. wkwkwk. Mereka suguhin makanan western, which is makanannya sih enak. Tp cuma di enak ga pake banget. Yg ane suka itu porsinya banyak n murahh. Termasuk murah dibanding harga di jkt yah. Disini ada burger n pizza super besar jg. Krn ane sm BF aja kesananya pasti ga muat soalnya. Ane beli kebab kambing, krn yg beef adanya jam 3 (kan dah ane bilang sistemnya ribet). BF beli apa ya... lupa... kaya pizza stuffed daging gt. porsinya banyak bgt. Additional dish nya beef cordon bleu, ane curious aja pgn tau, krn biasanya kan chicken, tp ga enak ternyata. Drinks nya mojito nya enakkk... berdua kita cmn abis 250rbuan kmrn. kenyaanggg bgt.
Steak enak, murah, tempat asik;Buat kamu pecinta steak, mungkin ini salah satu resto yang harus kamu kunjungi. Steaknya ukuran besar, rasanya lumayan enak sih, dan harganya terjangkau banget men! Untuk saus steaknya paling suka sama yang lada hitam, trus kentangnya mashpotato tapi sering keabisan sedih. Ribs nya juga recommended! Suka kesini kalo ke bandung karna tempatnya juga enak buat nongkrong sama temen-temen.
Serba big size;Lucunya diresto ini menu makanannya ukuran big size.. Pizza jumbo steak jumbo burger jumbo hotdog jumbo... Tampilan nya mengagetkan lucu juga untuk hiburan untuk tastenya steaknya enak tapi kalo pizza nya kurang enak
Steak yang enak tapi nothing special;desain resto ini menarik sesuai dengan namanya, pilihan menunya cukup banyak.Waktu itu kami nyoba macem-macem, sirloin, sosis, tenderloin , dll, Overall rasanya lumayan enak tapi tidak ada yang spesial . ada beberapa resto steak yang rasanya lebih juara dibanding karnivor ini, tapi dengan harga yang lumayan murah bolehlah resto ini dicoba :)
Benar-benar untuk pecinta daging;Karnivor sudah menjadi bahan pembicaraan masyarakat selama ini sebagai salah satu tempat favorit mahasiswa dan kalangan muda untuk berkumpul. Selain itu, tempat ini juga jadi salah satu kuliner utama para turis paruh baya bahkan keluarga dengan banyak anggota.Tempat ini terkenal dengan menu makanan yang porsinya besar namun harganya terjangkau. Selain itu, minumannya pun ada yang bisa untuk beramai-ramai. Menu favorit saya untuk rombongan adalah Monster Steak dan Monster Sosis dengan harga Rp 200.000,00 - Rp 300.000,00 dengan minuman yang bisa beramai pula seperti Jungle Punch dan Gorilla Punch dengan kisaran harga Rp 35.000,00 - Rp 40.000,00.Tempat ini juga mudah dijangkau dengan angkot dari daerah Dago maupun jalan Merdeka. Memakai kendaraan pribadi pun juga nyaman dan para petugas keamanan akan membantu pula untuk memarkirkan secara valet. Walau begitu, disarankan untuk tidak membawa kendaraan pribadi jika tidak beramai-ramai karena parkir di tempat ini cukup terbatas.
variasi steak yang oke;Rasanya enak, variasi steaknya juga banyak. banyak wisatawan lokal maupun dari luar kota makan disana baik siang mauoun sore atau malam hingga penuh dan sering waiting list. suasana nya juga bagus dan enak makanannya serta pelayanan yang cepat
Steak Murah yang Tidak Murahan;bagi penyuka makanan yang berbau daging layak coba cafe yang ini. selain menawarkan menu steak seperti kebanyakan, karnivor juga menawarkan menu dengan ukuran jumbo, seperti giant sausage ( sausage dengan panjang hampir 1 m ) tower steak ( steak besar hampir 1 kg ) atau monster pizza ( pizzanya gede banget dan tidak bulat tapi square ).jadi pesan 1 bisa buat banyakan,sudah beberapa kali saya ke karnivor, terakhir saya coba menu T-Bone steak, sebenernya agak kecewa karena dagingnya yang dingin dan seperti sudah di stock ( jadi tidak fresh grilled ).tapi over all selama sampai saat ini karnivor cukup memuaskan. apalagi harganya yang tidak terlalu mahal.tips : datang di bulan Oktober dengan dekorasi full menyambut helloween dan ada kejutan di setiap weekend malam.. siap-siap terkejut...
Enak, murah, lokasi nyaman dan mudah dicapai;Resto ini salah satu favorit saya tiap berkunjung ke Bandung. Buka jam 18.00. Kalo weekend biasanya ngantri, tapi kalo hari kerja lebih tenang. Lokasinya di Jl Riau, deket dengan deretan FO, gampang dicari. Steaknya beragam, kentang jg disajikan dalam berbagai pilihan. Favorit saya mixed grill steak, bisa ngerasain smuanya. Sosisnya enak, padahal saya bukan penggemar sosis. Potato chipsnya yummy..potato wedgesnya juga oke. Porsinya pas utk satu org dewasa. Sayang tidak disajikan di hot plate, jadi cepat dingin. Pelayanan cepat dan ramah. Pilih meja di luar sebelah dalam, serasa berada di perkemahan Indian.
Just for met lover;Kali ini saya sekeluarga beserta teman dan teman-temannya mengunjungi KarnivorSeru, rame...Saya pesan Monster Pizza. Pizza berukuran 60x40 cm.Pizzanya tipis, crunchy dengan potongan daging. Suami saya menyebutnya pizza krupuk. Kami juga pesan 500 gr Ribs yang disediakan setelah jam 3 sore. Juicy ribs. Sangat berlemak. Tidak direkomendaikan untuk orang-orang yang tidak menyukai lemak.
Menu dengan size raksasa yg memuaskan!;Menu yang bervariasi dengan harga yang tergolong terjangkau. Burger, pizza, sosis, nasi goreng dan sebagainya. Tersedia menu dengan ukuran besar cukup untuk makan 6 orang. Perlu datang sebelum jam makan siang agar dapat tempat parkir dan untuk dapat ketersediaan makanannya. Restoran ini selalu ramai di kunjungi. Pokoknya gak nyesel deh makan disini!
Warung Steak Laris;Bandung memang surganya kuliner. Karnivor adalah salah satunya. Warung steak yang kualitasnya cukup baik namun tidak terlalu mahal. apalagi bagi mereka yang porsi makannya banyak. Tersedia menu jumbo di Karnivor. Suasana yang friendly, cocok untuk ngumpul bareng.
Makan Besar Harga Damai;Puas dengan menu yang disajikan harus coba burger jumbo dan steak jumbo. Cita rasa enak dan terpenting harga relatif murah, bahkan untuk anak sekolahan.
Tempat santai di tengah kota;Restoran ini cocok untuk anda bersama rekan bisnis dan pasangan ataupun acara kumpul kumpul reunian. Agak tidak cocok ketika anda membawa keluarga seperti anak balita kesini karena tempatnya yang tidak terlalu luas.Makanan favorit saya adalah Sop Buntut Bakar yang sangat empuk sekali dagingnya. Tapi selain itu, banyak pilihan makanan lainnya seperti aneka macam steak, pizza dan lain lain. Minumannya pun cukup bervariasi seperti gorilla punch, thai tea, capuccino dan lain lain.Soal rasa dibandingkan harganya menurut saya agak kemahalan dengan rasa yang biasa biasa saja. Terletak di Jalan RE Martadinata menurut saya merupakan salah satu kelebihan dari restoran ini.
Makanan dingin;Saya penasaran makan di tempat ini karena banyak membaca rekomendasi di internet. Pelayannya baik, ramah dan tanggap, ketika saya protes krn si pelayan salah mencetak daftar makanan yg kami pesan, dia segera ke kitchen utk mengganti daftarnya shg makanan yg keluar tdk salah. Sayangnya rasa makanan di tempat ini biasa aja. Daging steak yg disajikan sudah dingin demikian juga dgn french fries-nya, saus steaknya pun tidak panas. Minumannya sy pesan capucinno ice blended yg rasanya mnrt sy tdk sebanding dgn hrgnya.
Steak murah dan lezat;Karnivor steak adalah pilihan yang tepat untuk makan steak dengan harga yang sangat terjangkau, harga yang murah tetapi rasa nya sangat lezat, tetapi disayangkan tempatnya terbatas sehingga tidak jarang terdapat waiting list yang panjang.
BAD SERVICE;hari ini saya bersama teman saya datang untuk melakukan "Observasi Restaurant" di Karnivor ini mungkin di depan kami disambut baik ataupun ramah tamah tapi sayangnya saat kami melakukan proses pemesanan makanan waiter tersebut kurang ramah dan tidak TERSEYUM! dan pada saat memberikan makanan pun mereka menyebutkan makanan tersebut dengan sangat cepat,tidak tersenyum dan langsung pergi tanpa mempersilahkan untuk menyantap makanan tersebut. lalu kurangnya ketelitian terhadap kelengkapan cutleries dengan makanan yang dipesan,banyaknya waiter yang "Bergerombol" dan "Mengobrol" juga pada saat kami membutuhkan bantuan kepada salah satu waiter ia langsung pergi tanpa menghiraukan kami. It's a BAD SERVICE FOR THE FIRST TIME, I COME IN THE RESTAURANT!!!!
serasa jadi ranger hutan!;letaknya bersebelahan dengan nanny's pavilioninteriornya berhasil membangun suasana "serasa di dalam hutan" karena desainnya mirip kebun binatang dan seragam pelayan yang warnanya coklat.sesuai dengan namanya, restoran ini menyediakan menu olahan daging.. Daging ayam dan daging sapi yang diolah dalam berbagai bentuk seperti pizza, callazone, sampai pizza.Terdapat menu kategori "monster" yang ukurannya gedee banget.. umumdisediakan setelah jam 5 sore,, dan perlu sedikit keberuntungan untuk dapat menikmati menu monster ini.salah satu yang wajib di coba adalah menu bernama "t-rex bone" dan terdapat beberapa pilihan olahan kentang seperti kentang tumbuk, kripik kentang dan kentang goreng.
Interior yang anti mainstream;Restoran ini mempunyai lokasi yang strategis, makanan dengan cita rasa yang enak dan yang paling oke adalah interior restoran yang anti mainstream, tidak sama dengan restoran lain. Pelayanannya lumayan cepat dan harganya pun cukup terjangkau. Kalau ke Bandung pingin lagi mampir disini.
Steak murah dan enak;Dari segi harga tentu sangat terjangkau apabila dibandingkan dengan restoran steak lain. Rasa steak memuaskan. Pilihan menu sangat beragam, tidak hanya menyediakan steak. Sayangnya agak sulit cari parkir dan suasana restoran sangat ramai, sehingga kurang cocok kalau untuk kumpul santai. Untuk dessert bisa pilih oreo goreng yang pas untuk camilan.
Suasana dan harga;Menemani si Sulung merayakan ulang tahun seorang karibnya, kami disambut oleh antrian yang cukup panjang. Untung, restoran ini memiliki seorang petugas yang mendata pengunjung sehingga meski ngantri rasanya tidak terlalu lama. Ada beberapa kursi menunggu juga.Untuk makanan, kami memesan steak. Rasanya ya standar lah, gak terlalu beda dengan steak lain. Saya memesan well done steak, tapi sepertinya terlalu well done, jadi pinggirannya agak "tutung".Yang diunggulkan di restoran ini adalah suasananya yang lumayan keren, terutama buat remaja seperti anak saya, dan harganya yang bolehlah tidak terlalu mahal untuk ukuran restoran di jalan Riau.Mungkin akan berkunjung ke sini lagi jika tidak kesulitan mencari lahan parkir.
Steak yang empuk ya di Karnivor;Dari beberapa resto yang menyajikan steak, sepertinya hanya karnivor yang dagingnya empuk (gampang dikunyah). Tapi sayangnya setiap kali saya pengen coba nasi goreng karnivor atau nasi goreng iga nya selaluuuuu habis, padahal yang recommend nya nasi goreng iga itu, diperbanyak donk kalo bisa, dan jangan berdasarkan order hour donk. over all makan disini suasananya ok, makanan dan minumannya juga ok,cobain ice blended coffee nya yah.
Bad Experience;1. Pelayanan kurang ramah dan lama 2. Banyak lalat di sekitar meja makan3. Ada anak kecoa di meja saya ( meja no.9 ) 4. Saus sambalnya dingin
Rasa makanan standar;Saya rasa karnivor lebih menawarkan suasana tempat makan yg menarik dibanding rasa makanan yang berkualitas. Saya makan bersama beberapa orang teman, dari menu2 yang dipesan rasa makanan terlalu standar rata-rata. Tidak ada makanan yang cukup istimewa untuk membuat orang ingin datang kembali. Pada intinya masih banyak restoran steak lain di bandyng yg menawarkan rasa makanan jauh lebih enak dibandingkan karnivor
Makan kenyang :);Waktu itu saya berkunjung bersama 3 orang teman saya yang lain. Tempatnya sekilas terkesan koboi dan sedikit prehistorik dengan aksen bambu-bambunya. Range menunya cukup beragam, Layanannya pun cukup cepat.Saat itu kami memesan satu steak monster (menurut sang mas pelayan beratnya sekitar lebih kurang satu kilo) dan sosis monster yang panjang (kira-kira sekitar 1 kilo daging sosis). Saat pesanan tiba, kami berempat memang benar-benar "bersusah payah" mengahabiskan porsi tersebut karena memang cukup besar. Overall, rasanya oke terlebih lagi dengan potato chipsnya yang gurih. Recommended deh buat si potato chips. Ohya, tambahan info reservasi untuk weekend tidak dilayani.
Steak yang lumayan murah;Berkunjung ke tempat ini di hari sabtu sore sekitar jam 5. Lumayan ramai namun belum antri. Layanan pemesanan sampai makanan datang lumayan cepat dan tidak memakan waktu lama. Namun saat akan membayar, harus sampai 3x meminta bon makanan baru ada.Steak nya lumayan enak. Porsi nya juga pas. Beberapa menu berukuran jumbo sehingga cocok dinikmati ramai-ramai bersama teman atau keluarga.Fave saya adalah oreo dijero. Cocok utk dessert atau sekedar ngemil.
